"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"53","Angola",NA,NA,NA,78.15964,NA,49.056999206543,8.26799964904785,42.6759986877441,105750987618.63,3432.38573600893,NA,78.1940002441406,NA,NA,NA,1.77713755353982,46.2,63667,30809762,NA,NA,NA,NA,8,36,7.25299978256226,65.514,53
"54","Antigua and Barbuda",99.3101,1.43781,1.7147182433513,0.29449120996578,66,NA,NA,NA,1623804016.2963,16864.3833609901,NA,NA,NA,NA,NA,NA,4.6,7,96286,96.19883,12.40564,9.29704,68.003233812076,9,22,NA,24.599,54
"55","Argentina",NA,NA,6.14020587171811,311.57348,NA,0.0579999983310699,22.4039993286133,77.5370025634766,518475134084.357,11652.5662897487,16.3646627378331,68.4100036621094,99.06204,98.93774,99.00387,0.854560979237316,8,6673,44494502,NA,NA,NA,55.6311143484606,11,11,9.48299980163574,91.87,55
"56","Armenia",90.843,8.21479,13.6958608277246,NA,11426,33.2919998168945,15.7580003738403,50.9500007629395,12433089919.0459,4212.07094272937,52.8905290691526,64.8030014038086,NA,NA,NA,4.77833758658911,9.8,458,2951776,89.87896,15.41859,8.01689,52.6201719846807,3,4,17.7119998931885,63.149,56
"57","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.81268,97.80013,97.80742,NA,NA,NA,105845,NA,NA,NA,NA,NA,NA,NA,43.411,57
"58","Australia",NA,NA,2.59715588509884,2027.63710989603,NA,2.56900000572205,19.3799991607666,78.0510025024414,1432195178668.32,57305.2990162045,21.3173853626855,77.5579986572266,NA,NA,NA,1.89155976713945,2.8,988,24992369,NA,NA,NA,66.6386133925068,3,2.5,5.38700008392334,86.012,58
"59","Austria",NA,NA,1.17481807919122,373.511,NA,3.8970000743866,24.6749992370605,71.4290008544922,455736580716.185,51512.9054751534,50.9519706894039,76.3190002441406,NA,NA,NA,0.735992539307036,2.6,253,8847037,NA,NA,NA,62.7064090277332,8,21,4.78599977493286,58.297,59
"60","Azerbaijan",92.61575,0.52151,5.25093612307199,44.0886,24803,36.1259994506836,14.4060001373291,49.4679985046387,46939529411.7647,4721.17808673142,37.7191179640388,71.6790008544922,NA,NA,NA,3.77369409189023,17.2,3236,9942334,100.2199,15.42982,7.60984,35.235246349496,3,3.5,5.21999979019165,55.68,60
"61","Bahamas, The",NA,NA,NA,0.160852303475506,NA,2.61299991607666,16.0790004730225,81.306999206543,NA,NA,NA,81.8160018920898,NA,NA,NA,NA,7.7,45,385640,NA,NA,NA,NA,7,21.5,11.8500003814697,83.025,61
"62","Bahrain",98.10484,4.74,0.288531252620209,420.98375,1188,1.03699994087219,35.2550010681152,63.7080001831055,37746196808.5106,24050.7575053956,71.1162248979572,74.3119964599609,94.94888,98.76317,97.46419,3.5954853914713,5.9,132,1569439,97.87412,11.92315,10.23948,55.3037962821392,6,8.3,0.962000012397766,89.287,62
